Time (ET),Price
2026-03-14 12:00:00,70575.58000000
2026-03-14 12:01:00,70567.89000000
2026-03-14 12:02:00,70554.43000000
2026-03-14 12:03:00,70531.81000000
2026-03-14 12:04:00,70546.17000000
2026-03-14 12:05:00,70501.00000000
2026-03-14 12:06:00,70508.51000000
2026-03-14 12:07:00,70536.34000000
2026-03-14 12:08:00,70608.40000000
2026-03-14 12:09:00,70637.90000000
2026-03-14 12:10:00,70633.77000000
2026-03-14 12:11:00,70616.80000000
2026-03-14 12:12:00,70620.22000000
2026-03-14 12:13:00,70585.08000000
2026-03-14 12:14:00,70584.02000000
2026-03-14 12:15:00,70593.34000000
2026-03-14 12:16:00,70619.20000000
2026-03-14 12:17:00,70616.28000000
2026-03-14 12:18:00,70628.29000000
2026-03-14 12:19:00,70621.00000000
2026-03-14 12:20:00,70600.00000000
2026-03-14 12:21:00,70621.00000000
2026-03-14 12:22:00,70616.36000000
2026-03-14 12:23:00,70618.87000000
2026-03-14 12:24:00,70618.09000000
2026-03-14 12:25:00,70633.73000000
2026-03-14 12:26:00,70651.02000000
2026-03-14 12:27:00,70653.99000000
2026-03-14 12:28:00,70653.99000000
2026-03-14 12:29:00,70662.74000000
2026-03-14 12:30:00,70662.75000000
2026-03-14 12:31:00,70662.91000000
2026-03-14 12:32:00,70662.91000000
2026-03-14 12:33:00,70666.66000000
2026-03-14 12:34:00,70682.88000000
2026-03-14 12:35:00,70690.73000000
2026-03-14 12:36:00,70671.12000000
2026-03-14 12:37:00,70678.80000000
2026-03-14 12:38:00,70664.65000000
2026-03-14 12:39:00,70652.66000000
2026-03-14 12:40:00,70649.48000000
2026-03-14 12:41:00,70666.97000000
2026-03-14 12:42:00,70649.98000000
2026-03-14 12:43:00,70659.20000000
2026-03-14 12:44:00,70647.49000000
2026-03-14 12:45:00,70633.51000000
2026-03-14 12:46:00,70624.94000000
2026-03-14 12:47:00,70611.13000000
2026-03-14 12:48:00,70667.12000000
2026-03-14 12:49:00,70660.72000000
2026-03-14 12:50:00,70681.93000000
2026-03-14 12:51:00,70681.75000000
2026-03-14 12:52:00,70662.73000000
2026-03-14 12:53:00,70683.61000000
2026-03-14 12:54:00,70708.65000000
2026-03-14 12:55:00,70689.77000000
2026-03-14 12:56:00,70679.87000000
2026-03-14 12:57:00,70679.87000000
2026-03-14 12:58:00,70671.35000000
2026-03-14 12:59:00,70672.53000000
2026-03-14 13:00:00,70670.70000000
2026-03-14 13:01:00,70673.40000000
2026-03-14 13:02:00,70671.63000000
2026-03-14 13:03:00,70662.15000000
2026-03-14 13:04:00,70641.69000000
2026-03-14 13:05:00,70656.14000000
2026-03-14 13:06:00,70644.02000000
2026-03-14 13:07:00,70654.59000000
2026-03-14 13:08:00,70644.03000000
2026-03-14 13:09:00,70664.75000000
2026-03-14 13:10:00,70680.00000000
2026-03-14 13:11:00,70671.59000000
2026-03-14 13:12:00,70659.00000000
2026-03-14 13:13:00,70681.00000000
2026-03-14 13:14:00,70690.76000000
2026-03-14 13:15:00,70701.77000000
2026-03-14 13:16:00,70703.31000000
2026-03-14 13:17:00,70678.70000000
2026-03-14 13:18:00,70672.52000000
2026-03-14 13:19:00,70679.78000000
2026-03-14 13:20:00,70692.16000000
2026-03-14 13:21:00,70692.28000000
2026-03-14 13:22:00,70685.94000000
2026-03-14 13:23:00,70690.50000000
2026-03-14 13:24:00,70694.51000000
2026-03-14 13:25:00,70718.00000000
2026-03-14 13:26:00,70714.31000000
2026-03-14 13:27:00,70698.18000000
2026-03-14 13:28:00,70719.55000000
2026-03-14 13:29:00,70732.18000000
2026-03-14 13:30:00,70722.88000000
2026-03-14 13:31:00,70695.62000000
2026-03-14 13:32:00,70694.64000000
2026-03-14 13:33:00,70680.87000000
2026-03-14 13:34:00,70639.40000000
2026-03-14 13:35:00,70651.03000000
2026-03-14 13:36:00,70640.73000000
2026-03-14 13:37:00,70651.03000000
2026-03-14 13:38:00,70651.03000000
2026-03-14 13:39:00,70651.02000000
2026-03-14 13:40:00,70646.44000000
2026-03-14 13:41:00,70646.44000000
2026-03-14 13:42:00,70640.74000000
2026-03-14 13:43:00,70647.80000000
2026-03-14 13:44:00,70663.54000000
2026-03-14 13:45:00,70646.92000000
2026-03-14 13:46:00,70643.37000000
2026-03-14 13:47:00,70655.32000000
2026-03-14 13:48:00,70658.18000000
2026-03-14 13:49:00,70643.91000000
2026-03-14 13:50:00,70609.49000000
2026-03-14 13:51:00,70590.01000000
2026-03-14 13:52:00,70605.40000000
2026-03-14 13:53:00,70596.75000000
2026-03-14 13:54:00,70590.02000000
2026-03-14 13:55:00,70590.01000000
2026-03-14 13:56:00,70610.90000000
2026-03-14 13:57:00,70618.32000000
2026-03-14 13:58:00,70610.89000000
2026-03-14 13:59:00,70617.01000000
2026-03-14 14:00:00,70567.86000000
2026-03-14 14:01:00,70584.32000000
2026-03-14 14:02:00,70593.33000000
2026-03-14 14:03:00,70593.33000000
2026-03-14 14:04:00,70581.67000000
2026-03-14 14:05:00,70571.75000000
2026-03-14 14:06:00,70574.17000000
2026-03-14 14:07:00,70575.81000000
2026-03-14 14:08:00,70582.30000000
2026-03-14 14:09:00,70583.85000000
2026-03-14 14:10:00,70594.90000000
2026-03-14 14:11:00,70595.40000000
2026-03-14 14:12:00,70596.70000000
2026-03-14 14:13:00,70610.25000000
2026-03-14 14:14:00,70582.00000000
2026-03-14 14:15:00,70578.48000000
2026-03-14 14:16:00,70578.48000000
2026-03-14 14:17:00,70583.94000000
2026-03-14 14:18:00,70598.85000000
2026-03-14 14:19:00,70586.56000000
2026-03-14 14:20:00,70579.40000000
2026-03-14 14:21:00,70579.40000000
2026-03-14 14:22:00,70583.44000000
2026-03-14 14:23:00,70586.46000000
2026-03-14 14:24:00,70596.97000000
2026-03-14 14:25:00,70596.98000000
2026-03-14 14:26:00,70599.51000000
2026-03-14 14:27:00,70618.66000000
2026-03-14 14:28:00,70626.00000000
2026-03-14 14:29:00,70618.05000000
2026-03-14 14:30:00,70627.86000000
2026-03-14 14:31:00,70635.07000000
2026-03-14 14:32:00,70643.03000000
2026-03-14 14:33:00,70665.55000000
2026-03-14 14:34:00,70665.55000000
2026-03-14 14:35:00,70640.04000000
2026-03-14 14:36:00,70640.03000000
2026-03-14 14:37:00,70650.94000000
2026-03-14 14:38:00,70640.03000000
2026-03-14 14:39:00,70640.03000000
2026-03-14 14:40:00,70632.51000000
2026-03-14 14:41:00,70654.02000000
2026-03-14 14:42:00,70671.98000000
2026-03-14 14:43:00,70669.35000000
2026-03-14 14:44:00,70650.00000000
2026-03-14 14:45:00,70642.97000000
2026-03-14 14:46:00,70642.97000000
2026-03-14 14:47:00,70642.96000000
2026-03-14 14:48:00,70657.25000000
2026-03-14 14:49:00,70667.18000000
2026-03-14 14:50:00,70661.28000000
2026-03-14 14:51:00,70661.28000000
2026-03-14 14:52:00,70661.27000000
2026-03-14 14:53:00,70669.36000000
2026-03-14 14:54:00,70664.75000000
2026-03-14 14:55:00,70664.76000000
2026-03-14 14:56:00,70672.13000000
2026-03-14 14:57:00,70672.13000000
2026-03-14 14:58:00,70691.85000000
2026-03-14 14:59:00,70668.23000000
2026-03-14 15:00:00,70629.62000000
2026-03-14 15:01:00,70618.83000000
2026-03-14 15:02:00,70617.21000000
2026-03-14 15:03:00,70637.39000000
2026-03-14 15:04:00,70639.37000000
2026-03-14 15:05:00,70641.15000000
2026-03-14 15:06:00,70649.99000000
2026-03-14 15:07:00,70668.33000000
2026-03-14 15:08:00,70652.79000000
2026-03-14 15:09:00,70649.59000000
2026-03-14 15:10:00,70663.57000000
2026-03-14 15:11:00,70663.58000000
2026-03-14 15:12:00,70663.58000000
2026-03-14 15:13:00,70680.59000000
2026-03-14 15:14:00,70687.71000000
2026-03-14 15:15:00,70677.17000000
2026-03-14 15:16:00,70688.11000000
2026-03-14 15:17:00,70699.75000000
2026-03-14 15:18:00,70676.23000000
2026-03-14 15:19:00,70676.22000000
2026-03-14 15:20:00,70667.76000000
2026-03-14 15:21:00,70678.98000000
2026-03-14 15:22:00,70671.87000000
2026-03-14 15:23:00,70685.82000000
2026-03-14 15:24:00,70690.78000000
2026-03-14 15:25:00,70671.98000000
2026-03-14 15:26:00,70671.98000000
2026-03-14 15:27:00,70671.97000000
2026-03-14 15:28:00,70671.98000000
2026-03-14 15:29:00,70671.98000000
2026-03-14 15:30:00,70671.97000000
2026-03-14 15:31:00,70677.02000000
2026-03-14 15:32:00,70677.02000000
2026-03-14 15:33:00,70677.02000000
2026-03-14 15:34:00,70671.97000000
2026-03-14 15:35:00,70659.42000000
2026-03-14 15:36:00,70659.42000000
2026-03-14 15:37:00,70671.32000000
2026-03-14 15:38:00,70671.32000000
2026-03-14 15:39:00,70681.26000000
2026-03-14 15:40:00,70681.25000000
2026-03-14 15:41:00,70685.00000000
2026-03-14 15:42:00,70712.90000000
2026-03-14 15:43:00,70712.90000000
2026-03-14 15:44:00,70718.86000000
2026-03-14 15:45:00,70718.86000000
2026-03-14 15:46:00,70701.80000000
2026-03-14 15:47:00,70706.73000000
2026-03-14 15:48:00,70732.57000000
2026-03-14 15:49:00,70729.25000000
2026-03-14 15:50:00,70711.32000000
2026-03-14 15:51:00,70711.32000000
2026-03-14 15:52:00,70699.99000000
2026-03-14 15:53:00,70700.00000000
2026-03-14 15:54:00,70700.00000000
2026-03-14 15:55:00,70709.98000000
2026-03-14 15:56:00,70699.12000000
2026-03-14 15:57:00,70692.50000000
2026-03-14 15:58:00,70692.51000000
2026-03-14 15:59:00,70700.00000000
2026-03-14 16:00:00,70705.47000000
2026-03-14 16:01:00,70698.30000000
2026-03-14 16:02:00,70675.72000000
2026-03-14 16:03:00,70685.80000000
2026-03-14 16:04:00,70664.94000000
2026-03-14 16:05:00,70650.10000000
2026-03-14 16:06:00,70653.75000000
2026-03-14 16:07:00,70682.15000000
2026-03-14 16:08:00,70694.71000000
2026-03-14 16:09:00,70689.33000000
2026-03-14 16:10:00,70689.34000000
2026-03-14 16:11:00,70689.33000000
2026-03-14 16:12:00,70689.32000000
2026-03-14 16:13:00,70679.32000000
2026-03-14 16:14:00,70683.58000000
2026-03-14 16:15:00,70705.89000000
2026-03-14 16:16:00,70694.71000000
2026-03-14 16:17:00,70706.74000000
2026-03-14 16:18:00,70717.11000000
2026-03-14 16:19:00,70742.17000000
2026-03-14 16:20:00,70735.16000000
2026-03-14 16:21:00,70734.37000000
2026-03-14 16:22:00,70747.03000000
2026-03-14 16:23:00,70750.32000000
2026-03-14 16:24:00,70723.63000000
2026-03-14 16:25:00,70731.89000000
2026-03-14 16:26:00,70740.85000000
2026-03-14 16:27:00,70748.94000000
2026-03-14 16:28:00,70748.94000000
2026-03-14 16:29:00,70735.78000000
2026-03-14 16:30:00,70735.78000000
2026-03-14 16:31:00,70735.78000000
2026-03-14 16:32:00,70748.94000000
2026-03-14 16:33:00,70741.89000000
2026-03-14 16:34:00,70748.94000000
2026-03-14 16:35:00,70746.52000000
2026-03-14 16:36:00,70746.51000000
2026-03-14 16:37:00,70746.51000000
2026-03-14 16:38:00,70761.37000000
2026-03-14 16:39:00,70761.38000000
2026-03-14 16:40:00,70771.33000000
2026-03-14 16:41:00,70788.86000000
2026-03-14 16:42:00,70796.06000000
2026-03-14 16:43:00,70822.14000000
2026-03-14 16:44:00,70850.00000000
2026-03-14 16:45:00,70800.36000000
2026-03-14 16:46:00,70803.93000000
2026-03-14 16:47:00,70850.89000000
2026-03-14 16:48:00,70829.59000000
2026-03-14 16:49:00,70830.47000000
2026-03-14 16:50:00,70809.56000000
2026-03-14 16:51:00,70809.57000000
2026-03-14 16:52:00,70818.11000000
2026-03-14 16:53:00,70831.54000000
2026-03-14 16:54:00,70819.28000000
2026-03-14 16:55:00,70818.07000000
2026-03-14 16:56:00,70833.99000000
2026-03-14 16:57:00,70835.31000000
2026-03-14 16:58:00,70828.30000000
2026-03-14 16:59:00,70805.71000000
2026-03-14 17:00:00,70784.75000000
