Time (ET),Price
03-23 12:00,0.495
03-23 12:01,0.495
03-23 12:02,0.5
03-23 12:03,0.515
03-23 12:04,0.505
03-23 12:05,0.515
03-23 12:06,0.505
03-23 12:07,0.515
03-23 12:08,0.525
03-23 12:09,0.535
03-23 12:10,0.535
03-23 12:11,0.535
03-23 12:12,0.545
03-23 12:13,0.555
03-23 12:14,0.535
03-23 12:15,0.555
03-23 12:16,0.555
03-23 12:17,0.535
03-23 12:18,0.535
03-23 12:19,0.535
03-23 12:20,0.525
03-23 12:21,0.515
03-23 12:22,0.515
03-23 12:23,0.525
03-23 12:24,0.525
03-23 12:25,0.535
03-23 12:26,0.525
03-23 12:27,0.52
03-23 12:28,0.515
03-23 12:29,0.53
03-23 12:30,0.505
03-23 12:31,0.505
03-23 12:32,0.515
03-23 12:33,0.525
03-23 12:34,0.525
03-23 12:35,0.535
03-23 12:36,0.535
03-23 12:37,0.54
03-23 12:38,0.545
03-23 12:39,0.535
03-23 12:40,0.535
03-23 12:41,0.545
03-23 12:42,0.545
03-23 12:43,0.535
03-23 12:44,0.535
03-23 12:45,0.545
03-23 12:46,0.555
03-23 12:47,0.575
03-23 12:48,0.595
03-23 12:49,0.59
03-23 12:50,0.595
03-23 12:51,0.58
03-23 12:52,0.575
03-23 12:53,0.575
03-23 12:54,0.575
03-23 12:55,0.575
03-23 12:56,0.575
03-23 12:57,0.575
03-23 12:58,0.555
03-23 12:59,0.565
03-23 13:01,0.575
03-23 13:01,0.575
03-23 13:02,0.575
03-23 13:03,0.56
03-23 13:04,0.575
03-23 13:05,0.575
03-23 13:06,0.58
03-23 13:07,0.565
03-23 13:08,0.585
03-23 13:09,0.585
03-23 13:10,0.595
03-23 13:11,0.595
03-23 13:12,0.595
03-23 13:13,0.595
03-23 13:14,0.595
03-23 13:15,0.595
03-23 13:16,0.575
03-23 13:17,0.565
03-23 13:18,0.585
03-23 13:19,0.575
03-23 13:20,0.565
03-23 13:21,0.545
03-23 13:22,0.545
03-23 13:23,0.555
03-23 13:24,0.545
03-23 13:25,0.555
03-23 13:26,0.565
03-23 13:27,0.565
03-23 13:28,0.565
03-23 13:29,0.575
03-23 13:30,0.565
03-23 13:31,0.575
03-23 13:32,0.585
03-23 13:33,0.585
03-23 13:34,0.625
03-23 13:35,0.625
03-23 13:36,0.645
03-23 13:37,0.655
03-23 13:38,0.665
03-23 13:39,0.655
03-23 13:40,0.655
03-23 13:41,0.655
03-23 13:42,0.645
03-23 13:43,0.645
03-23 13:44,0.635
03-23 13:45,0.635
03-23 13:46,0.635
03-23 13:47,0.645
03-23 13:48,0.645
03-23 13:49,0.655
03-23 13:50,0.655
03-23 13:51,0.655
03-23 13:52,0.655
03-23 13:53,0.665
03-23 13:54,0.665
03-23 13:55,0.665
03-23 13:56,0.675
03-23 13:57,0.675
03-23 13:58,0.675
03-23 13:59,0.675
03-23 14:00,0.665
03-23 14:01,0.675
03-23 14:02,0.675
03-23 14:03,0.685
03-23 14:04,0.685
03-23 14:05,0.685
03-23 14:06,0.685
03-23 14:07,0.685
03-23 14:08,0.655
03-23 14:09,0.665
03-23 14:10,0.665
03-23 14:11,0.675
03-23 14:12,0.675
03-23 14:13,0.665
03-23 14:14,0.665
03-23 14:15,0.66
03-23 14:16,0.665
03-23 14:17,0.655
03-23 14:18,0.665
03-23 14:19,0.665
03-23 14:20,0.655
03-23 14:21,0.655
03-23 14:22,0.645
03-23 14:23,0.645
03-23 14:24,0.645
03-23 14:25,0.655
03-23 14:26,0.655
03-23 14:27,0.65
03-23 14:28,0.645
03-23 14:29,0.645
03-23 14:30,0.645
03-23 14:31,0.655
03-23 14:32,0.665
03-23 14:33,0.675
03-23 14:34,0.685
03-23 14:35,0.685
03-23 14:36,0.685
03-23 14:37,0.685
03-23 14:38,0.685
03-23 14:39,0.68
03-23 14:40,0.675
03-23 14:41,0.675
03-23 14:42,0.665
03-23 14:43,0.675
03-23 14:44,0.675
03-23 14:45,0.675
03-23 14:46,0.685
03-23 14:47,0.705
03-23 14:48,0.685
03-23 14:49,0.685
03-23 14:50,0.695
03-23 14:51,0.695
03-23 14:52,0.69
03-23 14:53,0.67
03-23 14:54,0.675
03-23 14:55,0.685
03-23 14:56,0.685
03-23 14:57,0.685
03-23 14:58,0.685
03-23 14:59,0.685
03-23 15:00,0.685
03-23 15:01,0.685
03-23 15:02,0.675
03-23 15:03,0.68
03-23 15:04,0.685
03-23 15:05,0.695
03-23 15:06,0.715
03-23 15:07,0.7
03-23 15:08,0.655
03-23 15:09,0.665
03-23 15:10,0.665
03-23 15:11,0.665
03-23 15:12,0.665
03-23 15:13,0.665
03-23 15:14,0.66
03-23 15:15,0.665
03-23 15:16,0.655
03-23 15:17,0.645
03-23 15:18,0.655
03-23 15:19,0.655
03-23 15:20,0.665
03-23 15:21,0.665
03-23 15:22,0.665
03-23 15:23,0.665
03-23 15:24,0.67
03-23 15:25,0.685
03-23 15:26,0.685
03-23 15:27,0.68
03-23 15:28,0.675
03-23 15:29,0.685
03-23 15:30,0.685
03-23 15:31,0.685
03-23 15:32,0.685
03-23 15:33,0.685
03-23 15:34,0.685
03-23 15:35,0.675
03-23 15:36,0.665
03-23 15:37,0.675
03-23 15:38,0.665
03-23 15:39,0.67
03-23 15:40,0.665
03-23 15:41,0.665
03-23 15:42,0.655
03-23 15:43,0.645
03-23 15:44,0.655
03-23 15:45,0.665
03-23 15:46,0.675
03-23 15:47,0.665
03-23 15:48,0.655
03-23 15:49,0.655
03-23 15:50,0.645
03-23 15:51,0.645
03-23 15:52,0.645
03-23 15:53,0.645
03-23 15:54,0.635
03-23 15:55,0.635
03-23 15:56,0.625
03-23 15:57,0.625
03-23 15:58,0.625
03-23 15:59,0.615
03-23 16:00,0.625
03-23 16:01,0.605
03-23 16:02,0.605
03-23 16:03,0.595
03-23 16:04,0.615
03-23 16:05,0.615
03-23 16:06,0.605
03-23 16:07,0.605
03-23 16:08,0.605
03-23 16:09,0.605
03-23 16:10,0.625
03-23 16:11,0.625
03-23 16:12,0.625
03-23 16:13,0.635
03-23 16:14,0.635
03-23 16:15,0.64
03-23 16:16,0.645
03-23 16:17,0.635
03-23 16:18,0.635
03-23 16:19,0.635
03-23 16:20,0.63
03-23 16:21,0.625
03-23 16:22,0.635
03-23 16:23,0.645
03-23 16:24,0.645
