Time (ET),Price
03-24 12:00,0.495
03-24 12:01,0.495
03-24 12:02,0.495
03-24 12:03,0.495
03-24 12:04,0.505
03-24 12:05,0.495
03-24 12:06,0.495
03-24 12:07,0.505
03-24 12:08,0.505
03-24 12:09,0.505
03-24 12:10,0.505
03-24 12:11,0.515
03-24 12:12,0.505
03-24 12:13,0.515
03-24 12:14,0.505
03-24 12:15,0.505
03-24 12:16,0.505
03-24 12:17,0.515
03-24 12:18,0.525
03-24 12:19,0.515
03-24 12:20,0.515
03-24 12:21,0.505
03-24 12:22,0.505
03-24 12:23,0.515
03-24 12:24,0.505
03-24 12:25,0.505
03-24 12:26,0.475
03-24 12:27,0.485
03-24 12:28,0.505
03-24 12:29,0.495
03-24 12:30,0.495
03-24 12:31,0.485
03-24 12:32,0.49
03-24 12:33,0.485
03-24 12:34,0.475
03-24 12:35,0.485
03-24 12:36,0.475
03-24 12:37,0.475
03-24 12:38,0.465
03-24 12:39,0.455
03-24 12:40,0.415
03-24 12:41,0.415
03-24 12:42,0.425
03-24 12:43,0.425
03-24 12:44,0.425
03-24 12:45,0.435
03-24 12:46,0.445
03-24 12:47,0.435
03-24 12:48,0.455
03-24 12:49,0.435
03-24 12:50,0.435
03-24 12:51,0.435
03-24 12:52,0.435
03-24 12:53,0.445
03-24 12:54,0.445
03-24 12:55,0.435
03-24 12:56,0.415
03-24 12:57,0.425
03-24 12:58,0.425
03-24 12:59,0.425
03-24 13:00,0.425
03-24 13:01,0.425
03-24 13:02,0.415
03-24 13:03,0.415
03-24 13:04,0.415
03-24 13:05,0.395
03-24 13:06,0.365
03-24 13:07,0.365
03-24 13:08,0.365
03-24 13:09,0.375
03-24 13:10,0.365
03-24 13:11,0.375
03-24 13:12,0.375
03-24 13:13,0.375
03-24 13:14,0.375
03-24 13:15,0.375
03-24 13:16,0.39
03-24 13:17,0.375
03-24 13:18,0.365
03-24 13:19,0.365
03-24 13:20,0.365
03-24 13:21,0.375
03-24 13:22,0.375
03-24 13:23,0.375
03-24 13:24,0.375
03-24 13:25,0.375
03-24 13:26,0.375
03-24 13:27,0.365
03-24 13:28,0.365
03-24 13:29,0.375
03-24 13:30,0.375
03-24 13:31,0.385
03-24 13:32,0.38
03-24 13:33,0.375
03-24 13:34,0.355
03-24 13:35,0.365
03-24 13:36,0.365
03-24 13:37,0.365
03-24 13:38,0.395
03-24 13:39,0.385
03-24 13:40,0.385
03-24 13:41,0.385
03-24 13:42,0.375
03-24 13:43,0.365
03-24 13:44,0.355
03-24 13:45,0.325
03-24 13:46,0.325
03-24 13:47,0.335
03-24 13:48,0.335
03-24 13:49,0.335
03-24 13:50,0.345
03-24 13:51,0.335
03-24 13:52,0.345
03-24 13:53,0.345
03-24 13:54,0.345
03-24 13:55,0.345
03-24 13:56,0.365
03-24 13:57,0.38
03-24 13:58,0.365
03-24 13:59,0.38
03-24 14:00,0.38
03-24 14:01,0.395
03-24 14:02,0.375
03-24 14:03,0.375
03-24 14:04,0.375
03-24 14:05,0.375
03-24 14:06,0.385
03-24 14:07,0.385
03-24 14:08,0.395
03-24 14:09,0.395
03-24 14:10,0.395
03-24 14:11,0.385
03-24 14:12,0.395
03-24 14:13,0.395
03-24 14:14,0.395
03-24 14:15,0.405
03-24 14:16,0.405
03-24 14:17,0.395
03-24 14:18,0.395
03-24 14:19,0.395
03-24 14:20,0.41
03-24 14:21,0.415
03-24 14:22,0.425
03-24 14:23,0.425
03-24 14:24,0.42
03-24 14:25,0.425
03-24 14:26,0.425
03-24 14:27,0.425
03-24 14:28,0.425
03-24 14:29,0.415
03-24 14:30,0.425
03-24 14:31,0.405
03-24 14:32,0.435
03-24 14:33,0.445
03-24 14:34,0.435
03-24 14:35,0.43
03-24 14:36,0.445
03-24 14:37,0.455
03-24 14:38,0.455
03-24 14:39,0.475
03-24 14:40,0.485
03-24 14:41,0.465
03-24 14:42,0.445
03-24 14:43,0.44
03-24 14:44,0.44
03-24 14:45,0.445
03-24 14:46,0.44
03-24 14:47,0.435
03-24 14:48,0.435
03-24 14:49,0.425
03-24 14:50,0.425
03-24 14:51,0.425
03-24 14:52,0.425
03-24 14:53,0.425
03-24 14:54,0.435
03-24 14:55,0.435
03-24 14:56,0.425
03-24 14:57,0.425
03-24 14:58,0.435
03-24 14:59,0.425
03-24 15:00,0.425
03-24 15:01,0.425
03-24 15:02,0.425
03-24 15:03,0.435
03-24 15:04,0.435
03-24 15:05,0.435
03-24 15:06,0.435
03-24 15:07,0.435
03-24 15:08,0.435
03-24 15:09,0.435
03-24 15:10,0.435
03-24 15:11,0.445
